星级	名字	介绍	其他	网址	电话
5	黄山涵田度假酒店	黄山涵田度假酒店，就坐落于具有2200多年风雨沧桑的黟县城郊龙江村，毗邻宏村、西递，还有传奇女子赛金花故居、秀里影视基地等诸多景点。“一花一世界，一木一浮生，一草一天堂，一叶一如来”，酒店基于此打造了空中叶子花园、叶子楼下面的汽车双卧室套房、汽车亲子三卧室套房，和汽车三层双卧室别墅等，设计也保持徽州建筑的文化特色，古雅、舒适，而大幅落地玻璃窗将青山绿水田园景致收揽入室，让你枕山而卧，拥绿而眠。走在徽州古老的光阴里，遇见涵田度假村酒店，一场时光的邂逅，让你想起一句“一生痴绝处，无梦到徽州”！	['开业：2018', '装修时间：2018', '客房数：82']	https://hotels.ctrip.com/hotels/detail/?hotelId=18412457	联系方式：17705592918
5	芜湖华邑酒店	芜湖华邑酒店位于芜湖市滨江大道，临江而建，紧邻芜湖市核心商圈，距中山路步行街仅一桥之隔，距方特乐园约30分钟车程，交通便利。 	['开业：2018', '客房数：247']	https://hotels.ctrip.com/hotels/detail/?hotelId=19611727	联系方式：0553-5866666
5	芜湖绿心谷酒店	芜湖绿心谷酒店静处鸠兹古镇北门，位于芜湖市鸠江区万春西路鸠兹古镇北门，与同在古镇的大白鲸海洋公园举步之遥，距方特约5分钟车程。	['开业：2018', '客房数：68']	https://hotels.ctrip.com/hotels/detail/?hotelId=20264385	联系方式：0553-5878999
5	合肥洲际酒店	合肥洲际酒店以典雅时尚的设计风格雄踞政务新区核心商业地带。酒店拥有405间现代舒适的客房及套房尽览天鹅湖华美景致，是成功人士商务社交，休闲娱乐，时尚旅居，高端会务的睿智之选。依托百利中心双塔地标，酒店周边写字楼，大型购物中心，影剧院及餐饮娱乐场所一应俱全。酒店交通便利，距高铁南站仅15分钟车程。酒店拥有气势恢宏的宴会场地，总面积逾3500平方米，完备的多媒体影音设施将洲际的特色文化与合肥的内敛魅力完美融合。酒店特有私家花园，在城市的喧嚣中，寻一处心灵栖息的港湾。遇见洲际，开启您的探索未知之旅！	['开业：2018', '客房数：405']	https://hotels.ctrip.com/hotels/detail/?hotelId=21812461	联系方式：0551-62665888
5	合肥栢景朗廷酒店	合肥栢景朗廷酒店坐落于政务文化新区、万象城购物中心旁，毗邻银泰城、天鹅湖万达广场等休闲娱乐中心，休闲散步即可达绿轴公园和天鹅湖，与安徽省博物馆、奥体中心及合肥大剧院仅咫尺之遥。	['开业：2018', '客房数：338']	https://hotels.ctrip.com/hotels/detail/?hotelId=21900347	联系方式：0551-65688888
5	合肥香格里拉大酒店	合肥香格里拉大酒店位于连接商业区和市区的中心地带——濉溪路，周围有置地国际广场、华润万象汇购物中心、华润欢乐颂购物中心等，距离淮河路步行街，逍遥津公园五分钟车程。休闲商务、休闲汇聚在此。	['开业：2015', '客房数：400']	https://hotels.ctrip.com/hotels/detail/?hotelId=2204223	联系方式：0551-65509888
5	黄山昱见·徽缦园林度假酒店	昱见·徽缦园林度假酒店地处风景秀丽的新安江畔——南滨江西路。	['开业：2018', '客房数：67']	https://hotels.ctrip.com/hotels/detail/?hotelId=22457188	联系方式：0559-2551888
5	六安蓝溪兴茂度假酒店	六安蓝溪兴茂度假酒店坐落于悠然蓝溪文化旅游度假景区内，近六安市富民汽贸；悠然蓝溪儿童乐园、蓝溪水世界主题乐园等，出游便利。	['开业：2014', '装修时间：2015', '客房数：225']	https://hotels.ctrip.com/hotels/detail/?hotelId=2301134	联系方式：0564-5305305
5	黄山悦榕庄	黄山悦榕庄位于中国东部的安徽省内，从这一风景如画的度假胜地出发，便可到达世界文化遗产古村落——宏村和西递。	['开业：2015', '装修时间：2018', '客房数：127']	https://hotels.ctrip.com/hotels/detail/?hotelId=2311526	联系方式：0559-2265000
5	黄山开元颐居·还淳屯溪老街店(精品民宿)	老街深巷铺连肩，密雨重帘古画延。	['开业：2018', '装修时间：2018', '客房数：39']	https://hotels.ctrip.com/hotels/detail/?hotelId=23856373	联系方式：17355951656
5	六安南湖白鹭园酒店	酒店占地119亩（总建筑3.3万平米），配套园林景观用地3000亩。坐落于南山国际旅游度假区内，三面环水，隐于古松山林之间，依山傍水而立。酒店新中式风格设计，庄重与休闲并存、传统与现代通融，是一家养生文化主题精品酒店。首批开放高端精致客房70间，其中标准间与大床房63间，面积均在58平方以上；欢乐家庭房5间，面积约75平方；南湖套间2间，面积约125平方，每间客房均带有室外观景阳台。酒店拥有大小会议室7个，可举行不同形式20人至800人的会议。酒店拥有大小包厢10个、西餐厅、零点餐厅、宴会厅，可同时容纳1000人用餐。设有室内室外泳池、KTV包房、棋牌室、SPA洗浴中心、健身中心，即将投入运营。	['开业：2018', '装修时间：2018', '客房数：70']	https://hotels.ctrip.com/hotels/detail/?hotelId=26450971	联系方式：0564-2598888
5	芜湖苏宁环球大酒店	芜湖苏宁环球大酒店位于安徽省芜湖市鸠江区赤铸山中路，毗邻芜湖市新政务中心、金融中心、方特主题公园、鸠兹古镇、海洋公园等旅游中心，距芜湖方特欢乐世界约19分钟车程，芜湖方特梦幻王国、芜湖方特水上乐园、芜湖方特东方神画约12分钟车程，距新华联大白鲸海洋公园、鸠兹古镇约11分钟车程，距芜湖（高铁站）交通枢纽中心约4公里，距G42高速公路芜湖东收费口约5公里。	['开业：2018', '客房数：223']	https://hotels.ctrip.com/hotels/detail/?hotelId=28356663	联系方式：0553-3868888
5	合肥白金汉爵大酒店	合肥白金汉爵大酒店位于滨湖新区徽州大道（滨湖新区徽州大道与万泉河路交叉口），距合肥绕城高架约十几分钟车程，交通便利。	['开业：2015', '装修时间：2016', '客房数：764']	https://hotels.ctrip.com/hotels/detail/?hotelId=2850277	联系方式：0551-62228111
5	合肥融侨皇冠假日酒店	合肥融侨皇冠假日酒店临护城河畔，与三国古战场"逍遥津"而得名的逍遥津公园为邻。居酒店客房，即可欣赏公园景致，闹中取静，环境优美。	['开业：2015', '客房数：277']	https://hotels.ctrip.com/hotels/detail/?hotelId=3999801	联系方式：0551-62885066
5	黄山莲花山庄	黄山莲花山庄坐落于黄山风景区南大门汤口镇，距黄山南大门换乘点约600米。	['开业：2018', '装修时间：2019', '客房数：73']	https://hotels.ctrip.com/hotels/detail/?hotelId=416237	联系方式：0559-5569999
5	黄山温泉度假酒店	黄山温泉度假酒店位于黄山风景区海拔约612米处的温泉景区内，位于紫石峰南麓、桃花溪北岸；黄山玉屏索道慈光阁站近在咫尺。洗浴区由多个种类各异的汤池星罗棋布错落有致的组合，分布在高山森林园区内。	['开业：2007', '装修时间：2010', '客房数：172']	https://hotels.ctrip.com/hotels/detail/?hotelId=416261	联系方式：0559-2589333
5	黄山昱城皇冠假日酒店	黄山昱城皇冠假日酒店坐落于黄山市屯溪区市中心，毗邻风景秀丽的新安江畔，交通便利，步行可至屯溪老街，黎阳水街，也可轻松驱车到达黄山风景区、西递宏村、道教圣地齐云山等名胜古迹。酒店拥有四百余间新徽派风格的豪华客房，超过2000平方米的宴会及会议场地和专业的皇冠会议团队能满足不同类型的会议需求，4个风格迥异的餐厅提供地道纯正的徽菜和各式西点，带来舒适体验。	['开业：2012', '装修时间：2012', '客房数：481']	https://hotels.ctrip.com/hotels/detail/?hotelId=419339	联系方式：0559-2591888
5	黄山馥丽蓝山酒店	黄山馥丽蓝山酒店地处风景秀丽的新安江畔，紧邻市中心、徽杭高速、火车站，地理环境优越，交通旅游便捷。	['开业：2012', '装修时间：2018', '客房数：149']	https://hotels.ctrip.com/hotels/detail/?hotelId=419341	联系方式：0559-2566688
5	合肥皇冠假日酒店	合肥皇冠假日酒店位于蜀山区，毗邻政务文化新区和经济技术开发区。正门设有机场巴士停靠点，信步即达1912潮流街区、徽州特色半边街、大蜀山国家森林公园、蜀峰湾湿地公园、植物园、野生动物园等，环境优美，交通便捷。	['开业：2012', '客房数：523']	https://hotels.ctrip.com/hotels/detail/?hotelId=419896	联系方式：0551-62971888
5	合肥富力威斯汀酒店	合肥富力威斯汀酒店位于繁华的合肥市中心，坐拥秀美的包公园，地理位置优越，步行约5分钟即可至离合肥地铁一号线包公园站，方便您前往合肥火车站，合肥南站，探索城市各色景点。酒店临近万达广场、银泰中心、金街步行街、淮河路步行街等城市商业综合体，是您商务出行或休闲度假的上佳选择。	['开业：2011', '装修时间：2018', '客房数：291']	https://hotels.ctrip.com/hotels/detail/?hotelId=419898	联系方式：0551-62989888
5	合肥元一希尔顿酒店	合肥元一希尔顿酒店位于瑶海区胜利路198号，距离合肥地铁1号线长淮站A出口约2分钟路程。	['开业：2007', '装修时间：2017', '客房数：532']	https://hotels.ctrip.com/hotels/detail/?hotelId=425209	联系方式：0551-62808888
5	芜湖金鹰尚美酒店	酒店位于芜湖市中心位置——中山北路，毗邻八佰伴、凤凰美食街、华强吾悦广场、苏宁广场，以及一步之遥的中山路步行街。酒店“闹中取静”，背靠繁华交通主干道，拥有独立的地下及地面停车场。	['开业：2008', '客房数：337']	https://hotels.ctrip.com/hotels/detail/?hotelId=425776	联系方式：0553-3888999
5	合肥古井假日酒店	合肥古井假日酒店位于合肥商业繁华区，地铁一、二号线交汇处E出口距酒店约10余米，酒店地理位置优越，距逍遥津公园约0.7公里，距国家4A级风景区包公园约1.5公里，交通出行便利。	['开业：1998', '装修时间：2016', '客房数：296']	https://hotels.ctrip.com/hotels/detail/?hotelId=425943	联系方式：0551-62206666
5	巢湖深业温泉假日度假酒店	酒店位于汤山路近温泉路，半汤国际温泉度假区内，毗邻芜合高速半汤出口，周边交通发达，出入便捷。	['开业：2012', '客房数：203']	https://hotels.ctrip.com/hotels/detail/?hotelId=430328	联系方式：0551-82188888
5	合肥新站利港喜来登酒店	风格时尚的合肥新站利港喜来登酒店，坐拥合肥生态公园的迷人美景，为您送上宾至如归的舒适享受和真诚友好的盛情款待。 酒店地理位置便利，紧邻合肥市商业中心，距中央商务区约 4 公里之遥。	['开业：2012', '客房数：407']	https://hotels.ctrip.com/hotels/detail/?hotelId=430486	联系方式：0551-62969999
5	马鞍山海外海皇冠大酒店	酒店位于市中心黄金地段，可近距离俯瞰两湖——雨山湖和南湖优美景观，周边拥有各类购物中心，家乐福、知名风味餐馆等均近在咫尺。	['开业：2009', '装修时间：2018', '客房数：342']	https://hotels.ctrip.com/hotels/detail/?hotelId=430533	联系方式：0555-2388888
5	九华山五溪山色大酒店	九华山五溪山色大酒店坐落于九华山北大门---五溪山色景区内，近九华山石牌坊内约900米。	['开业：2010', '客房数：245']	https://hotels.ctrip.com/hotels/detail/?hotelId=436600	联系方式：0566-5578888
5	九华山东崖宾馆	九华山东崖宾馆位于山上核心景区——九华山风景区化城路，距离检票口内约200米，步行到化城寺约1分钟、百岁宫缆车约2分钟、旃檀林约3分钟、肉身宝殿约5分钟。	['开业：1982', '装修时间：2018', '客房数：260']	https://hotels.ctrip.com/hotels/detail/?hotelId=436601	联系方式：0566-2831370
5	池州碧桂园凤凰酒店(九华山)	池州碧桂园凤凰酒店(九华山)位于齐山大道西侧，距国家AAAAA级九华山风景区约40分钟车程，距九华天池约10分钟车程，毗邻G50高速路口；酒店附近主要景点：5A九华山，5A大愿文化园，4A情缘谷漂流，4A九华天池，4A杏花村，4A牯牛降，4A醉山野。	['开业：2011', '装修时间：2018', '客房数：338']	https://hotels.ctrip.com/hotels/detail/?hotelId=437549	联系方式：0566-5268888
5	九华山聚龙大酒店	酒店位于九华山核心景区内，经过景区检票口约50米即可到达。酒店面朝百岁宫、祇园寺，背靠虎形山。山上各大景点均位于酒店四周，步行约10-20分钟均可到达；距离月身宝殿约600米，距离百岁宫缆车约50米，距离天台景区换乘中心约20米。	['开业：1991', '装修时间：2016', '客房数：231']	https://hotels.ctrip.com/hotels/detail/?hotelId=437569	联系方式：0566-2831368
5	巢湖远洲豪廷大酒店	巢湖远洲豪廷大酒店位于巢湖市经济开发区的中心，交通便利，环境优越。	['开业：2010', '装修时间：2016', '客房数：222']	https://hotels.ctrip.com/hotels/detail/?hotelId=441322	联系方式：0551-82366666
5	安徽高速开元国际大酒店	安徽高速开元国际大酒店位于合肥市蜀山区合作化南路，周围餐饮、娱乐等生活配套齐全，出行便利。	['开业：2011', '装修时间：2018', '客房数：288']	https://hotels.ctrip.com/hotels/detail/?hotelId=447197	联系方式：0551-65189888
5	安徽世纪金源大饭店	安徽世纪金源大饭店位于合肥市政治、经济、文化、旅游中心的滨湖新区，距安徽省滨湖国际会展中心约3.5公里，距京台高速方兴大道收费站约6公里，离老城区约10公里，酒店毗邻安徽省人民政府、合肥万达主题公园、滨湖森林湿地公园，环境优雅、交通便利，是宾客一赏滨湖湿地森林公园、巢湖风景区旖旎风景的上佳起始点。	['开业：2010', '装修时间：2016', '客房数：635']	https://hotels.ctrip.com/hotels/detail/?hotelId=447961	联系方式：0551-66868888
5	合肥银泰君亭酒店	合肥银泰君亭酒店位于淮河路步行街与长江路中段，与合肥银泰中心有机结合，地铁2号线四牌楼A出口向东约150米即达，距离李鸿章故居和逍遥津公园等知名景点步行约10分钟。	['开业：2013', '装修时间：2015', '客房数：260']	https://hotels.ctrip.com/hotels/detail/?hotelId=448747	联系方式：0551-62691666
5	黄山国际大酒店	黄山国际大酒店位于黄山市市区中心地段，紧邻屯溪老街。酒店傍山依水，6公里内可揽老街问市、新安山水景观带、徽州照壁雕塑群、湖边古村落群、龙山禅月、鬲山荷韵、三江烟霞、徽州文化博物馆、黄村进士、杨业功纪念馆、戴震公园等景点。酒店距机场15分钟车程，距火车站5分钟车程，距高速路口5分钟车程，交通出行十分便捷。	['开业：1995', '装修时间：2010', '客房数：356']	https://hotels.ctrip.com/hotels/detail/?hotelId=450942	联系方式：0559-2565396
5	黄山新华联丽景酒店	黄山新华联丽景酒店地处黄山市腹地，徽杭高速、合铜黄高速交汇处，是上海、杭州、千岛湖、黄山黄金旅游线的必经要道；距黄山风景区、宏村、西递景区约50分钟车程。	['开业：2013', '客房数：319']	https://hotels.ctrip.com/hotels/detail/?hotelId=455080	联系方式：0559-3517777
5	六安曙光铂尊酒店	六安曙光铂尊酒店位于安徽六安经济技术开发区，酒店距市中心约10分钟车程、高速公路约8分钟车程、火车站约15分钟车程、合肥新桥国际机场约50分钟车程。	['开业：2013', '装修时间：2019', '客房数：248']	https://hotels.ctrip.com/hotels/detail/?hotelId=456860	联系方式：0564-5308888
5	黄山碧桂园凤凰酒店	黄山碧桂园凤凰酒店位于齐云大道，距国家AAAAA级黄山风景区约40分钟车程，距屯溪老街约8分钟车程；毗邻合铜黄、徽杭、黄塔桃等多条高速；毗邻黄山机场、长途汽车站、火车站。	['开业：2011', '装修时间：2018', '客房数：378']	https://hotels.ctrip.com/hotels/detail/?hotelId=457522	联系方式：0559-5118888
5	安徽金陵大饭店	安徽金陵大饭店由南京金陵酒店管理公司管理，饭店地处合肥滨湖新区中心地带，毗邻滨湖会展中心，步行即可到达商业中心、休闲场所和当地夜市。周边环城高速、徽州大道围绕，交通便利，方便前往任何观光景点。	['开业：2013', '客房数：307']	https://hotels.ctrip.com/hotels/detail/?hotelId=474657	联系方式：0551-65366666
5	合肥泓瑞金陵大酒店	合肥泓瑞金陵大酒店位于合肥市政务文化新区中心位置——祁门路，毗邻天鹅湖公园、华润万象城、奥体中心、合肥八中、五十中近在咫尺。	['开业：2009', '装修时间：2017', '客房数：442']	https://hotels.ctrip.com/hotels/detail/?hotelId=476077	联系方式：0551-62266666
5	黟县奇墅仙境国际大酒店	黟县奇墅仙境国际大酒店位于黟县奇墅湖畔，紧邻宏村风景区。	['开业：2011', '客房数：213']	https://hotels.ctrip.com/hotels/detail/?hotelId=479319	联系方式：0559-5548888
5	芜湖碧桂园凤凰酒店	芜湖至好至大度假及会议酒店，10000平方以上超大花园，意大利文艺复兴•欧陆装修风格。酒店地处“芜湖高新技术开发区”，距省级“三山工业园”约10分钟车程，知名企业定点接待酒店：恒安集团、奇瑞汽车、格力电器、玉柴联合动力、中联重机、雪花啤酒、双鹤药业、安徽师范大学、皖南医学院等，毗邻三山区政府，安徽省/芜湖市党政机关定点接待酒店，国内外政要下榻至多。	['开业：2010', '装修时间：2018', '客房数：351']	https://hotels.ctrip.com/hotels/detail/?hotelId=480225	联系方式：0553-5818888
5	合肥天鹅湖大酒店	天鹅湖大酒店坐落于合肥市政务文化新区核心地段，紧邻美丽的天鹅湖景区、合肥大剧院和合肥市市政大楼，鲤鱼跳龙门的灵动与天鹅倚湖的水韵，你中有我，交相辉映。	['开业：2008', '装修时间：2016', '客房数：264']	https://hotels.ctrip.com/hotels/detail/?hotelId=481810	联系方式：0551-63536666
5	九华山四季永逸大酒店	九华山四季永逸大酒店是由宁波威远集团投资，占地面积3.93万平方米，总建筑面积7.6万平方米，是集住宿、餐饮、会议、旅游、休闲娱乐为一体的高端豪华商务度假型酒店。酒店地理位置优越，位于青阳县芙蓉湖畔，毗邻青阳县政府（规划中）、大润发超市、大地电影院。    酒店拥有各类风格的客房415间，设有中餐、西餐、素食餐厅等各类餐饮设施，餐位达2000余个，设有9个功能齐全、风格各异的大小会议室。    超大无柱式豪华宴会厅面积达1000多平方，可容纳近1000人的宾客就餐或会议。酒店同时配备桑拿、按摩足浴、KTV、健身房、羽毛球室、恒温游泳池、休闲吧等养生项目，一应俱全，皇家享受。	['开业：2019', '客房数：412']	https://hotels.ctrip.com/hotels/detail/?hotelId=48474278	联系方式：0566-5688888
5	六安索伊君澜大酒店	六安索伊君澜大酒店是由索伊电器制造有限公司投资兴建，中国饭店集团10强和全球酒店集团60强的君澜酒店集团管理。酒店总投资8亿多元，占地37000平方米，楼高26层，酒店拥有各类豪华客房约400间（套），近3000个餐位，1000平米以上豪华宴会大厅两个。酒店总建筑面积84500平方米，是一家以高标准建造，提供住宿、餐饮、会议、娱乐、旅游等多功能服务的商务型酒店。	['开业：2019', '客房数：427']	https://hotels.ctrip.com/hotels/detail/?hotelId=51050097	联系方式：0564-2689999
5	黄山雨润涵月楼酒店	黄山雨润涵月楼酒店位于雨润度假区内的迎宾大道，距黄山屯溪机场仅3公里路程，交通十分便捷。	['开业：2012', '客房数：99']	https://hotels.ctrip.com/hotels/detail/?hotelId=511481	联系方式：0559-2568234
5	合肥君悦酒店	合肥君悦酒店位于合肥政务文化新区中央商务区核心地段，与华润万象城购物中心相连，坐拥城市天际线美景。	['开业：2019', '装修时间：2020', '客房数：347']	https://hotels.ctrip.com/hotels/detail/?hotelId=52673172	联系方式：0551-62821234
5	芜湖新华联丽景酒店	芜湖新华联丽景酒店坐落在风景秀美的AAAA级鸠兹古镇景区之侧，• 集住宿、餐饮、会议、休闲娱乐为一体的度假酒店• 楼高9层，地下2层，总建筑面积超8万平方米• 近1600平米无柱鸠兹宴会厅，华丽庄严• 南北风味、养生美食、饕餮盛宴齐聚• 项目齐备、设施一流的水上运动场馆• 会议场所总面积达4500㎡，标准房间面积约50平米左右，豪华套房面积超百平，独占一线湖景，可俯瞰鸠兹古镇美景，让每位下榻酒店的宾客在充分放松的情况下，览胜观景，尊享无与伦比的住 宿体验。无论您是在酒店入住还是举办会议，都将提供各种便利服务来保证您的成功之旅。	['开业：2019', '客房数：401']	https://hotels.ctrip.com/hotels/detail/?hotelId=52855560	联系方式：0553-5878999
5	巢湖国际饭店	巢湖国际饭店位于巢湖市健康东路，为巢湖市地标建筑之一。饭店拥抱巢湖繁华的商业圈，毗邻巢湖网红街道耳街、安德利购物中心，北连巢湖万达广场，东邻巢湖东站，交通十分便利。                                                    	['开业：2020', '客房数：252']	https://hotels.ctrip.com/hotels/detail/?hotelId=56599238	联系方式：0551-82118888
5	合肥融创永乐半山酒店	酒店位于合肥融创文旅城内。合肥融创文旅城坐落于安徽省省会合肥市滨湖新区核心，打造了合肥融创乐园、融创茂、豪华度假酒店群、滨湖酒吧街四大业态。	['开业：2016', '客房数：378']	https://hotels.ctrip.com/hotels/detail/?hotelId=5674762	联系方式：0551-62939999
5	黄山澍德堂酒店	“粉墙黛瓦马头墙，肥梁瘦柱内天井，高楼深院小窗户。“坐落于古徽州文化旅游区——呈坎八卦村景区内的澍德堂酒店，在保留了最原始、具有特色的古徽派建筑的同时对其进行深度的挖掘与开发，致力于将一座古朴传统的徽州古楼，变成与时代接轨，具有自身独特灵魂深度的酒店。	['开业：2016', '装修时间：2018', '客房数：18']	https://hotels.ctrip.com/hotels/detail/?hotelId=5677106	联系方式：0559-3537799
5	合肥施柏阁大观酒店	合肥施柏阁大观酒店位于合肥融创文旅城内。合肥融创文旅城坐落于安徽省省会合肥市滨湖新区核心,涵盖合肥融创乐园、融创茂、豪华度假酒店群、滨湖酒吧街四大业态。多元的业态格局、惊险的尖叫挑战、精彩的剧目演艺、引人入胜的欢乐氛围，合肥融创文旅城现已成为文化特色鲜明的人气旅游目的地，强势助力安徽旅游业发展。	['开业：2016', '客房数：204']	https://hotels.ctrip.com/hotels/detail/?hotelId=5683212	联系方式：0551-62938888
5	合肥瑞廷西郊酒店	合肥瑞廷西郊酒店位于合肥融创文旅城内，坐落于安徽省省会合肥市滨湖新区核心，打造了合肥融创乐园、融创茂、豪华度假酒店群、滨湖酒吧街四大业态。	['开业：2016', '客房数：404']	https://hotels.ctrip.com/hotels/detail/?hotelId=5702138	联系方式：0551-65198888
5	池州平天半岛大酒店	平天湖，原名白沙湖，位于安徽省池州市市区，南依九华山，北抵长江，水域面积达12平方公里。一代诗仙李白曾月夜泛舟湖上，吟出“水如一匹练，此地即平天。耐可乘明月，看花上酒船”的千古名句，后改名平天湖。池州平天半岛大酒店就坐落于平天湖南岸，三面环绕的盈盈碧水，似一幅清新淡雅的水墨画，掩映在碧水竹林之中。 	['开业：2010', '装修时间：2019', '客房数：146']	https://hotels.ctrip.com/hotels/detail/?hotelId=603138	联系方式：0566-2614888
5	芜湖世茂希尔顿逸林酒店	芜湖世茂希尔顿逸林酒店位于“江城”芜湖长江江畔，临江而立，毗邻市中心商业及美食商圈，从酒店步行出发约10分钟即可到达八佰伴商圈，拥有愉快的购物、娱乐体验；您也可以与家人在方特欢乐世界来一场惊险刺激的冒险之旅。	['开业：2013', '装修时间：2013', '客房数：442']	https://hotels.ctrip.com/hotels/detail/?hotelId=607468	联系方式：0553-8228888
5	黄山阿尔卡迪亚阳光度假酒店	黄山阿尔卡迪亚阳光度假酒店坐落于黄山太平湖畔，总建筑面积约40000平方米，占地7742平方米，酒店拥有两百余间让您置身于旖旎太平湖仙境之中；轩辕阁中餐厅拥有可容纳76人零点餐厅和豪华包厢7间，包厢区域能容纳110人；百味轩自助餐厅可容纳170人，足不出户便可尝遍中国特色美食。	['开业：2016', '客房数：374']	https://hotels.ctrip.com/hotels/detail/?hotelId=6077874	联系方式：0559-2198888-6608
